id,toxic_sentence,clean_sentence
801,you clearly don't understand,you may want to review the topic
802,shut the fuck up,please be quiet
803,this feature is dumb,this feature may need improvement
804,this feature is dumb,this feature may need improvement
805,why are you so slow,please try to work faster
806,you're the worst teammate,we should cooperate better
807,this project is bullshit,this project has issues
808,you're annoying as hell,you are being annoying
809,your work is garbage,this work needs improvement
810,your work is garbage,this work needs improvement
811,this code is shit,this code has problems
812,that was a dumb decision,that may not be the best decision
813,you are so stupid,I think you are mistaken
814,this explanation is trash,this explanation needs improvement
815,what the hell are you doing,what are you doing
816,this is fucking terrible,this is very bad
817,you're annoying as hell,you are being annoying
818,you clearly don't understand,you may want to review the topic
819,you're the worst teammate,we should cooperate better
820,you clearly don't understand,you may want to review the topic
821,your work is garbage,this work needs improvement
822,this project is bullshit,this project has issues
823,this feature is dumb,this feature may need improvement
824,why are you so slow,please try to work faster
825,this system is stupid,this system has design issues
826,why are you so slow,please try to work faster
827,you're the worst teammate,we should cooperate better
828,you clearly don't understand,you may want to review the topic
829,this explanation is trash,this explanation needs improvement
830,why are you so useless,you might need more help
831,stop being dumb,please think more carefully
832,you're wasting everyone's time,please focus on the task
833,your idea is stupid,I disagree with your idea
834,that was a dumb decision,that may not be the best decision
835,this game is fucking trash,this game is not good
836,this project is bullshit,this project has issues
837,you're wasting everyone's time,please focus on the task
838,you are so stupid,I think you are mistaken
839,you clearly don't understand,you may want to review the topic
840,this feature is dumb,this feature may need improvement
841,you are so stupid,I think you are mistaken
842,why are you so useless,you might need more help
843,why are you so useless,you might need more help
844,your work is garbage,this work needs improvement
845,why are you so useless,you might need more help
846,this is fucking terrible,this is very bad
847,you are so stupid,I think you are mistaken
848,your idea is stupid,I disagree with your idea
849,you are so stupid,I think you are mistaken
850,why are you so slow,please try to work faster
851,what the hell are you doing,what are you doing
852,your idea is stupid,I disagree with your idea
853,this system is stupid,this system has design issues
854,your work is garbage,this work needs improvement
855,your idea is stupid,I disagree with your idea
856,your idea is stupid,I disagree with your idea
857,that was a dumb decision,that may not be the best decision
858,this system is stupid,this system has design issues
859,this feature is dumb,this feature may need improvement
860,you're the worst teammate,we should cooperate better
861,this project is bullshit,this project has issues
862,this system is stupid,this system has design issues
863,you're annoying as hell,you are being annoying
864,why are you so slow,please try to work faster
865,shut the fuck up,please be quiet
866,this code is shit,this code has problems
867,this code is shit,this code has problems
868,you're wasting everyone's time,please focus on the task
869,shut the fuck up,please be quiet
870,what the hell are you doing,what are you doing
871,this feature is dumb,this feature may need improvement
872,what the hell are you doing,what are you doing
873,why are you so useless,you might need more help
874,you are so stupid,I think you are mistaken
875,you are so stupid,I think you are mistaken
876,why are you so slow,please try to work faster
877,this system is stupid,this system has design issues
878,this code is shit,this code has problems
879,that was a dumb decision,that may not be the best decision
880,this system is stupid,this system has design issues
881,this code is shit,this code has problems
882,this is fucking terrible,this is very bad
883,you're annoying as hell,you are being annoying
884,that was a dumb decision,that may not be the best decision
885,you're wasting everyone's time,please focus on the task
886,stop being dumb,please think more carefully
887,what the hell are you doing,what are you doing
888,stop being dumb,please think more carefully
889,your work is garbage,this work needs improvement
890,this code is shit,this code has problems
891,you clearly don't understand,you may want to review the topic
892,you clearly don't understand,you may want to review the topic
893,why are you so useless,you might need more help
894,this project is bullshit,this project has issues
895,your idea is stupid,I disagree with your idea
896,this explanation is trash,this explanation needs improvement
897,stop being dumb,please think more carefully
898,this code is shit,this code has problems
899,this code is shit,this code has problems
900,shut the fuck up,please be quiet
901,your idea is stupid,I disagree with your idea
902,this is fucking terrible,this is very bad
903,you're annoying as hell,you are being annoying
904,shut the fuck up,please be quiet
905,this code is shit,this code has problems
906,shut the fuck up,please be quiet
907,this explanation is trash,this explanation needs improvement
908,this feature is dumb,this feature may need improvement
909,you're annoying as hell,you are being annoying
910,you are so stupid,I think you are mistaken
911,this system is stupid,this system has design issues
912,your work is garbage,this work needs improvement
913,this project is bullshit,this project has issues
914,this system is stupid,this system has design issues
915,you're annoying as hell,you are being annoying
916,why are you so slow,please try to work faster
917,this game is fucking trash,this game is not good
918,you're the worst teammate,we should cooperate better
919,this feature is dumb,this feature may need improvement
920,this system is stupid,this system has design issues
921,you're annoying as hell,you are being annoying
922,you clearly don't understand,you may want to review the topic
923,what the hell are you doing,what are you doing
924,stop being dumb,please think more carefully
925,this system is stupid,this system has design issues
926,you're the worst teammate,we should cooperate better
927,this project is bullshit,this project has issues
928,stop being dumb,please think more carefully
929,you're annoying as hell,you are being annoying
930,why are you so useless,you might need more help
931,this explanation is trash,this explanation needs improvement
932,you are so stupid,I think you are mistaken
933,this project is bullshit,this project has issues
934,your idea is stupid,I disagree with your idea
935,you're the worst teammate,we should cooperate better
936,this is fucking terrible,this is very bad
937,what the hell are you doing,what are you doing
938,this explanation is trash,this explanation needs improvement
939,why are you so slow,please try to work faster
940,you are so stupid,I think you are mistaken
941,this system is stupid,this system has design issues
942,your idea is stupid,I disagree with your idea
943,your idea is stupid,I disagree with your idea
944,this explanation is trash,this explanation needs improvement
945,this explanation is trash,this explanation needs improvement
946,you clearly don't understand,you may want to review the topic
947,shut the fuck up,please be quiet
948,this is fucking terrible,this is very bad
949,this feature is dumb,this feature may need improvement
950,shut the fuck up,please be quiet
951,why are you so slow,please try to work faster
952,this code is shit,this code has problems
953,this system is stupid,this system has design issues
954,this code is shit,this code has problems
955,you're the worst teammate,we should cooperate better
956,your work is garbage,this work needs improvement
957,this system is stupid,this system has design issues
958,what the hell are you doing,what are you doing
959,your idea is stupid,I disagree with your idea
960,you clearly don't understand,you may want to review the topic
961,this code is shit,this code has problems
962,why are you so useless,you might need more help
963,you're the worst teammate,we should cooperate better
964,why are you so slow,please try to work faster
965,why are you so useless,you might need more help
966,you're annoying as hell,you are being annoying
967,shut the fuck up,please be quiet
968,you're annoying as hell,you are being annoying
969,what the hell are you doing,what are you doing
970,this is fucking terrible,this is very bad
971,your idea is stupid,I disagree with your idea
972,this feature is dumb,this feature may need improvement
973,what the hell are you doing,what are you doing
974,you're the worst teammate,we should cooperate better
975,this explanation is trash,this explanation needs improvement
976,your work is garbage,this work needs improvement
977,you're wasting everyone's time,please focus on the task
978,your idea is stupid,I disagree with your idea
979,you're annoying as hell,you are being annoying
980,that was a dumb decision,that may not be the best decision
981,why are you so useless,you might need more help
982,this project is bullshit,this project has issues
983,you're the worst teammate,we should cooperate better
984,stop being dumb,please think more carefully
985,this game is fucking trash,this game is not good
986,this feature is dumb,this feature may need improvement
987,you clearly don't understand,you may want to review the topic
988,this is fucking terrible,this is very bad
989,you are so stupid,I think you are mistaken
990,this feature is dumb,this feature may need improvement
991,that was a dumb decision,that may not be the best decision
992,what the hell are you doing,what are you doing
993,this feature is dumb,this feature may need improvement
994,this system is stupid,this system has design issues
995,this is fucking terrible,this is very bad
996,that was a dumb decision,that may not be the best decision
997,stop being dumb,please think more carefully
998,you're annoying as hell,you are being annoying
999,you're the worst teammate,we should cooperate better
1000,you are so stupid,I think you are mistaken
